 Total Nb of available Diagnostics: ndiagt=   531
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   261 |WTRAC06 | 80 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of DOC
   262 |ForcTr06| 80 |       |SMR     MR|mmolC//s        |DOC forcing tendency
   263 |AB_gTr06| 80 |       |SMR     MR|mmolC//s        |DOC tendency from Adams-Bashforth
   264 |Tp_gTr06| 80 |       |SMR     MR|mmolC//s        |DOC total transport tendency (before gchem_forcing_sep)
   265 |ADVrTr06| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of DOC
   266 |ADVxTr06| 80 |   267 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of DOC
   267 |ADVyTr06| 80 |   266 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of DOC
   268 |DFrETr06| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DOC (Explicit part)
   269 |DFxETr06| 80 |   270 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of DOC
   270 |DFyETr06| 80 |   269 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of DOC
   271 |DFrITr06| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of DOC (Implicit part)
   272 |KPPgTr06| 80 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of DOC
   273 |TRAC07  | 80 |       |SMR     MR|mmol C/         |POC concentration
   274 |UTRAC07 | 80 |   275 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of POC
   275 |VTRAC07 | 80 |   274 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of POC
   276 |WTRAC07 | 80 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of POC
   277 |ForcTr07| 80 |       |SMR     MR|mmolC//s        |POC forcing tendency
   278 |AB_gTr07| 80 |       |SMR     MR|mmolC//s        |POC tendency from Adams-Bashforth
   279 |Tp_gTr07| 80 |       |SMR     MR|mmolC//s        |POC total transport tendency (before gchem_forcing_sep)
   280 |ADVrTr07| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of POC
   281 |ADVxTr07| 80 |   282 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of POC
   282 |ADVyTr07| 80 |   281 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of POC
   283 |DFrETr07| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of POC (Explicit part)
   284 |DFxETr07| 80 |   285 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of POC
   285 |DFyETr07| 80 |   284 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of POC
   286 |DFrITr07| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of POC (Implicit part)
   287 |KPPgTr07| 80 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of POC
   288 |TRAC08  | 80 |       |SMR     MR|mmol C/         |c01 concentration
   289 |UTRAC08 | 80 |   290 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of c01
   290 |VTRAC08 | 80 |   289 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of c01
   291 |WTRAC08 | 80 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of c01
   292 |ForcTr08| 80 |       |SMR     MR|mmolC//s        |c01 forcing tendency
   293 |AB_gTr08| 80 |       |SMR     MR|mmolC//s        |c01 tendency from Adams-Bashforth
   294 |Tp_gTr08| 80 |       |SMR     MR|mmolC//s        |c01 total transport tendency (before gchem_forcing_sep)
   295 |ADVrTr08| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of c01
   296 |ADVxTr08| 80 |   297 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of c01
   297 |ADVyTr08| 80 |   296 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of c01
   298 |DFrETr08| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c01 (Explicit part)
   299 |DFxETr08| 80 |   300 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of c01
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |DFyETr08| 80 |   299 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of c01
   301 |DFrITr08| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c01 (Implicit part)
   302 |KPPgTr08| 80 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of c01
   303 |TRAC09  | 80 |       |SMR     MR|log(ESD         |xm01 concentration
   304 |UTRAC09 | 80 |   305 |UUr     MR|log(ESD.m/s     |Zonal Mass-Weighted Transp of xm01
   305 |VTRAC09 | 80 |   304 |VVr     MR|log(ESD.m/s     |Merid Mass-Weighted Transp of xm01
   306 |WTRAC09 | 80 |       |WM      MR|log(ESD.m/s     |Vert  Mass-Weighted Transp of xm01
   307 |ForcTr09| 80 |       |SMR     MR|log(ESD/s       |xm01 forcing tendency
   308 |AB_gTr09| 80 |       |SMR     MR|log(ESD/s       |xm01 tendency from Adams-Bashforth
   309 |Tp_gTr09| 80 |       |SMR     MR|log(ESD/s       |xm01 total transport tendency (before gchem_forcing_sep)
   310 |ADVrTr09| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical   Advective Flux of xm01
   311 |ADVxTr09| 80 |   312 |UU      MR|log(ESD.m^3/s   |Zonal      Advective Flux of xm01
   312 |ADVyTr09| 80 |   311 |VV      MR|log(ESD.m^3/s   |Meridional Advective Flux of xm01
   313 |DFrETr09| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xm01 (Explicit part)
   314 |DFxETr09| 80 |   315 |UU      MR|log(ESD.m^3/s   |Zonal      Diffusive Flux of xm01
   315 |DFyETr09| 80 |   314 |VV      MR|log(ESD.m^3/s   |Meridional Diffusive Flux of xm01
   316 |DFrITr09| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xm01 (Implicit part)
   317 |KPPgTr09| 80 |       |WM      LR|log(ESD.m^3/s   |KPP non-local Flux of xm01
   318 |TRAC10  | 80 |       |SMR     MR|degC mm         |ym01 concentration
   319 |UTRAC10 | 80 |   320 |UUr     MR|degCmm.m/s      |Zonal Mass-Weighted Transp of ym01
   320 |VTRAC10 | 80 |   319 |VVr     MR|degCmm.m/s      |Merid Mass-Weighted Transp of ym01
   321 |WTRAC10 | 80 |       |WM      MR|degCmm.m/s      |Vert  Mass-Weighted Transp of ym01
   322 |ForcTr10| 80 |       |SMR     MR|degCmm/s        |ym01 forcing tendency
   323 |AB_gTr10| 80 |       |SMR     MR|degCmm/s        |ym01 tendency from Adams-Bashforth
   324 |Tp_gTr10| 80 |       |SMR     MR|degCmm/s        |ym01 total transport tendency (before gchem_forcing_sep)
   325 |ADVrTr10| 80 |       |WM      LR|degCmm.m^3/s    |Vertical   Advective Flux of ym01
   326 |ADVxTr10| 80 |   327 |UU      MR|degCmm.m^3/s    |Zonal      Advective Flux of ym01
   327 |ADVyTr10| 80 |   326 |VV      MR|degCmm.m^3/s    |Meridional Advective Flux of ym01
   328 |DFrETr10| 80 |       |WM      LR|degCmm.m^3/s    |Vertical Diffusive Flux of ym01 (Explicit part)
   329 |DFxETr10| 80 |   330 |UU      MR|degCmm.m^3/s    |Zonal      Diffusive Flux of ym01
   330 |DFyETr10| 80 |   329 |VV      MR|degCmm.m^3/s    |Meridional Diffusive Flux of ym01
   331 |DFrITr10| 80 |       |WM      LR|degCmm.m^3/s    |Vertical Diffusive Flux of ym01 (Implicit part)
   332 |KPPgTr10| 80 |       |WM      LR|degCmm.m^3/s    |KPP non-local Flux of ym01
   333 |TRAC11  | 80 |       |SMR     MR|log(PAR         |zm01 concentration
   334 |UTRAC11 | 80 |   335 |UUr     MR|log(PAR.m/s     |Zonal Mass-Weighted Transp of zm01
   335 |VTRAC11 | 80 |   334 |VVr     MR|log(PAR.m/s     |Merid Mass-Weighted Transp of zm01
   336 |WTRAC11 | 80 |       |WM      MR|log(PAR.m/s     |Vert  Mass-Weighted Transp of zm01
   337 |ForcTr11| 80 |       |SMR     MR|log(PAR/s       |zm01 forcing tendency
   338 |AB_gTr11| 80 |       |SMR     MR|log(PAR/s       |zm01 tendency from Adams-Bashforth
   339 |Tp_gTr11| 80 |       |SMR     MR|log(PAR/s       |zm01 total transport tendency (before gchem_forcing_sep)
   340 |ADVrTr11| 80 |       |WM      LR|log(PAR.m^3/s   |Vertical   Advective Flux of zm01
   341 |ADVxTr11| 80 |   342 |UU      MR|log(PAR.m^3/s   |Zonal      Advective Flux of zm01
   342 |ADVyTr11| 80 |   341 |VV      MR|log(PAR.m^3/s   |Meridional Advective Flux of zm01
   343 |DFrETr11| 80 |       |WM      LR|log(PAR.m^3/s   |Vertical Diffusive Flux of zm01 (Explicit part)
   344 |DFxETr11| 80 |   345 |UU      MR|log(PAR.m^3/s   |Zonal      Diffusive Flux of zm01
   345 |DFyETr11| 80 |   344 |VV      MR|log(PAR.m^3/s   |Meridional Diffusive Flux of zm01
   346 |DFrITr11| 80 |       |WM      LR|log(PAR.m^3/s   |Vertical Diffusive Flux of zm01 (Implicit part)
   347 |KPPgTr11| 80 |       |WM      LR|log(PAR.m^3/s   |KPP non-local Flux of zm01
   348 |TRAC12  | 80 |       |SMR     MR|log(ESD         |xxv01 concentration
   349 |UTRAC12 | 80 |   350 |UUr     MR|log(ESD.m/s     |Zonal Mass-Weighted Transp of xxv01
   350 |VTRAC12 | 80 |   349 |VVr     MR|log(ESD.m/s     |Merid Mass-Weighted Transp of xxv01
   351 |WTRAC12 | 80 |       |WM      MR|log(ESD.m/s     |Vert  Mass-Weighted Transp of xxv01
   352 |ForcTr12| 80 |       |SMR     MR|log(ESD/s       |xxv01 forcing tendency
   353 |AB_gTr12| 80 |       |SMR     MR|log(ESD/s       |xxv01 tendency from Adams-Bashforth
   354 |Tp_gTr12| 80 |       |SMR     MR|log(ESD/s       |xxv01 total transport tendency (before gchem_forcing_sep)
   355 |ADVrTr12| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical   Advective Flux of xxv01
   356 |ADVxTr12| 80 |   357 |UU      MR|log(ESD.m^3/s   |Zonal      Advective Flux of xxv01
   357 |ADVyTr12| 80 |   356 |VV      MR|log(ESD.m^3/s   |Meridional Advective Flux of xxv01
   358 |DFrETr12| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xxv01 (Explicit part)
   359 |DFxETr12| 80 |   360 |UU      MR|log(ESD.m^3/s   |Zonal      Diffusive Flux of xxv01
   360 |DFyETr12| 80 |   359 |VV      MR|log(ESD.m^3/s   |Meridional Diffusive Flux of xxv01
   361 |DFrITr12| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xxv01 (Implicit part)
   362 |KPPgTr12| 80 |       |WM      LR|log(ESD.m^3/s   |KPP non-local Flux of xxv01
   363 |TRAC13  | 80 |       |SMR     MR|(degC)^         |yyv01 concentration
   364 |UTRAC13 | 80 |   365 |UUr     MR|(degC)^.m/s     |Zonal Mass-Weighted Transp of yyv01
   365 |VTRAC13 | 80 |   364 |VVr     MR|(degC)^.m/s     |Merid Mass-Weighted Transp of yyv01
   366 |WTRAC13 | 80 |       |WM      MR|(degC)^.m/s     |Vert  Mass-Weighted Transp of yyv01
   367 |ForcTr13| 80 |       |SMR     MR|(degC)^/s       |yyv01 forcing tendency
   368 |AB_gTr13| 80 |       |SMR     MR|(degC)^/s       |yyv01 tendency from Adams-Bashforth
   369 |Tp_gTr13| 80 |       |SMR     MR|(degC)^/s       |yyv01 total transport tendency (before gchem_forcing_sep)
   370 |ADVrTr13| 80 |       |WM      LR|(degC)^.m^3/s   |Vertical   Advective Flux of yyv01
   371 |ADVxTr13| 80 |   372 |UU      MR|(degC)^.m^3/s   |Zonal      Advective Flux of yyv01
   372 |ADVyTr13| 80 |   371 |VV      MR|(degC)^.m^3/s   |Meridional Advective Flux of yyv01
   373 |DFrETr13| 80 |       |WM      LR|(degC)^.m^3/s   |Vertical Diffusive Flux of yyv01 (Explicit part)
   374 |DFxETr13| 80 |   375 |UU      MR|(degC)^.m^3/s   |Zonal      Diffusive Flux of yyv01
   375 |DFyETr13| 80 |   374 |VV      MR|(degC)^.m^3/s   |Meridional Diffusive Flux of yyv01
   376 |DFrITr13| 80 |       |WM      LR|(degC)^.m^3/s   |Vertical Diffusive Flux of yyv01 (Implicit part)
   377 |KPPgTr13| 80 |       |WM      LR|(degC)^.m^3/s   |KPP non-local Flux of yyv01
   378 |TRAC14  | 80 |       |SMR     MR|log(PAR         |zzv01 concentration
   379 |UTRAC14 | 80 |   380 |UUr     MR|log(PAR.m/s     |Zonal Mass-Weighted Transp of zzv01
   380 |VTRAC14 | 80 |   379 |VVr     MR|log(PAR.m/s     |Merid Mass-Weighted Transp of zzv01
   381 |WTRAC14 | 80 |       |WM      MR|log(PAR.m/s     |Vert  Mass-Weighted Transp of zzv01
   382 |ForcTr14| 80 |       |SMR     MR|log(PAR/s       |zzv01 forcing tendency
   383 |AB_gTr14| 80 |       |SMR     MR|log(PAR/s       |zzv01 tendency from Adams-Bashforth
   384 |Tp_gTr14| 80 |       |SMR     MR|log(PAR/s       |zzv01 total transport tendency (before gchem_forcing_sep)
   385 |ADVrTr14| 80 |       |WM      LR|log(PAR.m^3/s   |Vertical   Advective Flux of zzv01
   386 |ADVxTr14| 80 |   387 |UU      MR|log(PAR.m^3/s   |Zonal      Advective Flux of zzv01
   387 |ADVyTr14| 80 |   386 |VV      MR|log(PAR.m^3/s   |Meridional Advective Flux of zzv01
   388 |DFrETr14| 80 |       |WM      LR|log(PAR.m^3/s   |Vertical Diffusive Flux of zzv01 (Explicit part)
   389 |DFxETr14| 80 |   390 |UU      MR|log(PAR.m^3/s   |Zonal      Diffusive Flux of zzv01
   390 |DFyETr14| 80 |   389 |VV      MR|log(PAR.m^3/s   |Meridional Diffusive Flux of zzv01
   391 |DFrITr14| 80 |       |WM      LR|log(PAR.m^3/s   |Vertical Diffusive Flux of zzv01 (Implicit part)
   392 |KPPgTr14| 80 |       |WM      LR|log(PAR.m^3/s   |KPP non-local Flux of zzv01
   393 |TRAC15  | 80 |       |SMR     MR|log(ESD         |xyc01 concentration
   394 |UTRAC15 | 80 |   395 |UUr     MR|log(ESD.m/s     |Zonal Mass-Weighted Transp of xyc01
   395 |VTRAC15 | 80 |   394 |VVr     MR|log(ESD.m/s     |Merid Mass-Weighted Transp of xyc01
   396 |WTRAC15 | 80 |       |WM      MR|log(ESD.m/s     |Vert  Mass-Weighted Transp of xyc01
   397 |ForcTr15| 80 |       |SMR     MR|log(ESD/s       |xyc01 forcing tendency
   398 |AB_gTr15| 80 |       |SMR     MR|log(ESD/s       |xyc01 tendency from Adams-Bashforth
   399 |Tp_gTr15| 80 |       |SMR     MR|log(ESD/s       |xyc01 total transport tendency (before gchem_forcing_sep)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   400 |ADVrTr15| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical   Advective Flux of xyc01
   401 |ADVxTr15| 80 |   402 |UU      MR|log(ESD.m^3/s   |Zonal      Advective Flux of xyc01
   402 |ADVyTr15| 80 |   401 |VV      MR|log(ESD.m^3/s   |Meridional Advective Flux of xyc01
   403 |DFrETr15| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xyc01 (Explicit part)
   404 |DFxETr15| 80 |   405 |UU      MR|log(ESD.m^3/s   |Zonal      Diffusive Flux of xyc01
   405 |DFyETr15| 80 |   404 |VV      MR|log(ESD.m^3/s   |Meridional Diffusive Flux of xyc01
   406 |DFrITr15| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xyc01 (Implicit part)
   407 |KPPgTr15| 80 |       |WM      LR|log(ESD.m^3/s   |KPP non-local Flux of xyc01
   408 |TRAC16  | 80 |       |SMR     MR|log(ESD         |xzc01 concentration
   409 |UTRAC16 | 80 |   410 |UUr     MR|log(ESD.m/s     |Zonal Mass-Weighted Transp of xzc01
   410 |VTRAC16 | 80 |   409 |VVr     MR|log(ESD.m/s     |Merid Mass-Weighted Transp of xzc01
   411 |WTRAC16 | 80 |       |WM      MR|log(ESD.m/s     |Vert  Mass-Weighted Transp of xzc01
   412 |ForcTr16| 80 |       |SMR     MR|log(ESD/s       |xzc01 forcing tendency
   413 |AB_gTr16| 80 |       |SMR     MR|log(ESD/s       |xzc01 tendency from Adams-Bashforth
   414 |Tp_gTr16| 80 |       |SMR     MR|log(ESD/s       |xzc01 total transport tendency (before gchem_forcing_sep)
   415 |ADVrTr16| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical   Advective Flux of xzc01
   416 |ADVxTr16| 80 |   417 |UU      MR|log(ESD.m^3/s   |Zonal      Advective Flux of xzc01
   417 |ADVyTr16| 80 |   416 |VV      MR|log(ESD.m^3/s   |Meridional Advective Flux of xzc01
   418 |DFrETr16| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xzc01 (Explicit part)
   419 |DFxETr16| 80 |   420 |UU      MR|log(ESD.m^3/s   |Zonal      Diffusive Flux of xzc01
   420 |DFyETr16| 80 |   419 |VV      MR|log(ESD.m^3/s   |Meridional Diffusive Flux of xzc01
   421 |DFrITr16| 80 |       |WM      LR|log(ESD.m^3/s   |Vertical Diffusive Flux of xzc01 (Implicit part)
   422 |KPPgTr16| 80 |       |WM      LR|log(ESD.m^3/s   |KPP non-local Flux of xzc01
   423 |TRAC17  | 80 |       |SMR     MR|degC lo         |yzc01 concentration
   424 |UTRAC17 | 80 |   425 |UUr     MR|degClo.m/s      |Zonal Mass-Weighted Transp of yzc01
   425 |VTRAC17 | 80 |   424 |VVr     MR|degClo.m/s      |Merid Mass-Weighted Transp of yzc01
   426 |WTRAC17 | 80 |       |WM      MR|degClo.m/s      |Vert  Mass-Weighted Transp of yzc01
   427 |ForcTr17| 80 |       |SMR     MR|degClo/s        |yzc01 forcing tendency
   428 |AB_gTr17| 80 |       |SMR     MR|degClo/s        |yzc01 tendency from Adams-Bashforth
   429 |Tp_gTr17| 80 |       |SMR     MR|degClo/s        |yzc01 total transport tendency (before gchem_forcing_sep)
   430 |ADVrTr17| 80 |       |WM      LR|degClo.m^3/s    |Vertical   Advective Flux of yzc01
   431 |ADVxTr17| 80 |   432 |UU      MR|degClo.m^3/s    |Zonal      Advective Flux of yzc01
   432 |ADVyTr17| 80 |   431 |VV      MR|degClo.m^3/s    |Meridional Advective Flux of yzc01
   433 |DFrETr17| 80 |       |WM      LR|degClo.m^3/s    |Vertical Diffusive Flux of yzc01 (Explicit part)
   434 |DFxETr17| 80 |   435 |UU      MR|degClo.m^3/s    |Zonal      Diffusive Flux of yzc01
   435 |DFyETr17| 80 |   434 |VV      MR|degClo.m^3/s    |Meridional Diffusive Flux of yzc01
   436 |DFrITr17| 80 |       |WM      LR|degClo.m^3/s    |Vertical Diffusive Flux of yzc01 (Implicit part)
   437 |KPPgTr17| 80 |       |WM      LR|degClo.m^3/s    |KPP non-local Flux of yzc01
   438 |TRAC18  | 80 |       |SMR     MR|mmol C/         |c02 concentration
   439 |UTRAC18 | 80 |   440 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of c02
   440 |VTRAC18 | 80 |   439 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of c02
   441 |WTRAC18 | 80 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of c02
   442 |ForcTr18| 80 |       |SMR     MR|mmolC//s        |c02 forcing tendency
   443 |AB_gTr18| 80 |       |SMR     MR|mmolC//s        |c02 tendency from Adams-Bashforth
   444 |Tp_gTr18| 80 |       |SMR     MR|mmolC//s        |c02 total transport tendency (before gchem_forcing_sep)
   445 |ADVrTr18| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of c02
   446 |ADVxTr18| 80 |   447 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of c02
   447 |ADVyTr18| 80 |   446 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of c02
   448 |DFrETr18| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c02 (Explicit part)
   449 |DFxETr18| 80 |   450 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of c02
   450 |DFyETr18| 80 |   449 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of c02
   451 |DFrITr18| 80 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c02 (Implicit part)
   452 |KPPgTr18| 80 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of c02
   453 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   454 |PP      | 80 |       |SMRP    MR|mmol C/m^3/s    |Primary Production
   455 |Nfix    | 80 |       |SMRP    MR|mmol N/m^3/s    |N fixation
   456 |Denit   | 80 |       |SMRP    MR|mmol N/m^3/s    |Denitrification
   457 |DenitN  | 80 |       |SMRP    MR|mmol N/m^3/s    |Nitrogen loss due to denitrification
   458 |atten   | 80 |       |SMRP    MR|1               |attenuation in layer
   459 |PARF    | 80 |       |SMRP    LR|uEin/m^2/s      |PAR at top of layer
   460 |PAR     | 80 |       |SMRP    MR|uEin/m^2/s      |total PAR at layer center
   461 |C_DIN   | 80 |       |SM P    MR|mmolN/m3/s      |consumption of DIN
   462 |C_PO4   | 80 |       |SM P    MR|mmolP/m3/s      |consumption of PO4
   463 |C_Si    | 80 |       |SM P    MR|mmolSi/m3/s     |consumption of Si
   464 |C_Fe    | 80 |       |SM P    MR|mmolFe/m3/s     |consumption of Fe
   465 |S_DIN   | 80 |       |SM      MR|mmolN/m3/s      |non-transport source of DIN
   466 |S_PO4   | 80 |       |SM      MR|mmolP/m3/s      |non-transport source of PO4
   467 |S_Si    | 80 |       |SM      MR|mmolSi/m3/s     |non-transport source of Si
   468 |S_Fe    | 80 |       |SM      MR|mmolFe/m3/s     |non-transport source of Fe
   469 |gDAR01  | 80 |       |SMR     MR|mmolN//s        |NO3 tendency from DARWIN
   470 |gDAR02  | 80 |       |SMR     MR|mmolN//s        |NO2 tendency from DARWIN
   471 |gDAR03  | 80 |       |SMR     MR|mmolN//s        |NH4 tendency from DARWIN
   472 |gDAR04  | 80 |       |SMR     MR|mmolP//s        |PO4 tendency from DARWIN
   473 |gDAR05  | 80 |       |SMR     MR|mmolFe/s        |FeT tendency from DARWIN
   474 |gDAR06  | 80 |       |SMR     MR|mmolC//s        |DOC tendency from DARWIN
   475 |gDAR07  | 80 |       |SMR     MR|mmolC//s        |POC tendency from DARWIN
   476 |gDAR08  | 80 |       |SMR     MR|mmolC//s        |c01 tendency from DARWIN
   477 |gDAR09  | 80 |       |SMR     MR|log(ESD/s       |xm01 tendency from DARWIN
   478 |gDAR10  | 80 |       |SMR     MR|degCmm/s        |ym01 tendency from DARWIN
   479 |gDAR11  | 80 |       |SMR     MR|log(PAR/s       |zm01 tendency from DARWIN
   480 |gDAR12  | 80 |       |SMR     MR|log(ESD/s       |xxv01 tendency from DARWIN
   481 |gDAR13  | 80 |       |SMR     MR|(degC)^/s       |yyv01 tendency from DARWIN
   482 |gDAR14  | 80 |       |SMR     MR|log(PAR/s       |zzv01 tendency from DARWIN
   483 |gDAR15  | 80 |       |SMR     MR|log(ESD/s       |xyc01 tendency from DARWIN
   484 |gDAR16  | 80 |       |SMR     MR|log(ESD/s       |xzc01 tendency from DARWIN
   485 |gDAR17  | 80 |       |SMR     MR|degClo/s        |yzc01 tendency from DARWIN
   486 |gDAR18  | 80 |       |SMR     MR|mmolC//s        |c02 tendency from DARWIN
   487 |PP0001  | 80 |       |SMRP    MR|mmol C/m^3/s    |Primary Production plankton    1
   488 |GR0001  | 80 |       |SMRP    MR|mmol C/m^3/s    |Grazing loss of plankton    1
   489 |GrGn0001| 80 |       |SMRP    MR|mmol C/m^3/s    |Grazing gain of plankton    1
   490 |PP0002  | 80 |       |SMRP    MR|mmol C/m^3/s    |Primary Production plankton    2
   491 |GR0002  | 80 |       |SMRP    MR|mmol C/m^3/s    |Grazing loss of plankton    2
   492 |GrGn0002| 80 |       |SMRP    MR|mmol C/m^3/s    |Grazing gain of plankton    2
   493 |Dmnt1_1 | 80 |       |SMRP    MR|tu/s            |Local time derivative of mean trait 1 of plankton    1
   494 |Dmnt2_1 | 80 |       |SMRP    MR|tu/s            |Local time derivative of mean trait 2 of plankton    1
   495 |Dmnt3_1 | 80 |       |SMRP    MR|tu/s            |Local time derivative of mean trait 3 of plankton    1
   496 |Dvrt1_1 | 80 |       |SMRP    MR|tu^2/s          |Local time derivative of trait variance 1 of plankton    1
   497 |Dvrt2_1 | 80 |       |SMRP    MR|tu^2/s          |Local time derivative of trait variance 2 of plankton    1
   498 |Dvrt3_1 | 80 |       |SMRP    MR|tu^2/s          |Local time derivative of trait variance 3 of plankton    1
   499 |Dvrs1_1 | 80 |       |SMRP    MR|tu^2/s          |Local source of trait variance 1 of plankton    1
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   500 |Dvrs2_1 | 80 |       |SMRP    MR|tu^2/s          |Local source of trait variance 2 of plankton    1
   501 |Dvrs3_1 | 80 |       |SMRP    MR|tu^2/s          |Local source of trait variance 3 of plankton    1
   502 |Dcvt12_1| 80 |       |SMRP    MR|tu*tu/s         |Local time derivative          of inter-trait covariance 12 of plankton    1
   503 |Dcvt13_1| 80 |       |SMRP    MR|tu*tu/s         |Local time derivative          of inter-trait covariance 13 of plankton    1
   504 |Dcvt23_1| 80 |       |SMRP    MR|tu*tu/s         |Local time derivative          of inter-trait covariance 23 of plankton    1
   505 |Dcvs12_1| 80 |       |SMRP    MR|tu*tu/s         |Local source                   of inter-trait covariance 12 of plankton    1
   506 |Dcvs13_1| 80 |       |SMRP    MR|tu*tu/s         |Local source                   of inter-trait covariance 13 of plankton    1
   507 |Dcvs23_1| 80 |       |SMRP    MR|tu*tu/s         |Local source                   of inter-trait covariance 23 of plankton    1
   508 |sfcSolFe|  1 |       |SM P    L1|mmol Fe/m2/s    |Soluble iron input at sea surface
   509 |surfPAR |  1 |       |SM P    L1|uEin/m^2/s      |PAR forcing at surface
   510 |surfiron|  1 |       |SM P    L1|mmol Fe/m^2/s   |iron forcing at surface
   511 |DARice  |  1 |       |SM P    L1|m^2/m^2         |ice area fraction
   512 |DARwind |  1 |       |SM P    L1|m/s             |wind speed used for carbon exchange
   513 |surfpCO2|  1 |       |SM P    L1|mol/mol         |surface pCO2
   514 |GC_Tr01 | 80 |       |SMR     MR|mmol N/         |NO3 concentration before GCHEM
   515 |GC_Tr02 | 80 |       |SMR     MR|mmol N/         |NO2 concentration before GCHEM
   516 |GC_Tr03 | 80 |       |SMR     MR|mmol N/         |NH4 concentration before GCHEM
   517 |GC_Tr04 | 80 |       |SMR     MR|mmol P/         |PO4 concentration before GCHEM
   518 |GC_Tr05 | 80 |       |SMR     MR|mmol Fe         |FeT concentration before GCHEM
   519 |GC_Tr06 | 80 |       |SMR     MR|mmol C/         |DOC concentration before GCHEM
   520 |GC_Tr07 | 80 |       |SMR     MR|mmol C/         |POC concentration before GCHEM
   521 |GC_Tr08 | 80 |       |SMR     MR|mmol C/         |c01 concentration before GCHEM
